Language,Year_Introduced,StackOverflow_Popularity,Job_Demand_Index,Developer_Usage_Score,Popularity_Rating,Rank
Julia,2012,93,98,99,9.67,1.0
Fortran,1957,96,76,97,8.97,2.5
Zig,2016,100,94,75,8.97,2.5
Ruby,1995,86,92,77,8.5,4.0
Assembly,1949,62,97,83,8.07,5.0
Elixir,2011,92,69,79,8.0,6.0
C#,2000,50,100,87,7.9,7.0
Groovy,2003,100,61,73,7.8,8.0
JavaScript,1995,74,94,63,7.7,9.0
Bash,1989,78,73,79,7.67,10.0
TypeScript,2012,86,55,88,7.63,11.0
Solidity,2014,40,94,84,7.27,12.0
Nim,2008,77,40,97,7.13,13.0
Scala,2004,65,83,62,7.0,14.0
R,1993,68,70,71,6.97,15.0
Python,1991,60,52,96,6.93,16.0
C,1972,66,86,53,6.83,17.0
MATLAB,1984,88,53,57,6.6,18.0
PHP,1995,78,77,40,6.5,19.5
Dart,2011,60,64,71,6.5,19.5
Objective-C,1984,85,52,57,6.47,21.0
COBOL,1959,52,54,84,6.33,22.0
Go,2009,61,69,59,6.3,23.0
Java,1995,84,67,35,6.2,24.5
C++,1985,65,91,30,6.2,24.5
Delphi,1995,72,35,78,6.17,26.0
Swift,2014,75,62,45,6.07,27.0
Haskell,1990,55,35,91,6.03,28.0
Kotlin,2011,96,41,38,5.83,29.0
PowerShell,2006,68,43,53,5.47,30.0
Ada,1980,44,64,51,5.3,31.0
Rust,2010,43,66,48,5.23,32.0
Perl,1987,75,38,37,5.0,33.0
Visual Basic,1991,59,43,43,4.83,34.0
Crystal,2014,50,53,35,4.6,35.0
